node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
74 75 0 -1.9971 -8.2896 -20.1827 -2.0213 -8.2505 -20.3789 0.0512 0.2015 0.4314 0.3922 0.1961 4.3949 1.0000 
75 76 0 -2.0213 -8.2505 -20.3789 -2.0351 -8.1089 -20.8582 0.0512 0.5000 0.4314 0.3922 0.1961 4.5074 1.0000 
76 77 0 -2.0351 -8.1089 -20.8582 -2.0348 -8.0463 -21.0173 0.0512 0.1710 0.4314 0.3922 0.1961 4.5461 1.0000 
77 78 0 -2.0348 -8.0463 -21.0173 -2.0426 -7.8729 -21.4862 0.0512 0.5000 0.4314 0.3922 0.1961 4.6597 1.0000 
78 79 0 -2.0426 -7.8729 -21.4862 -2.0441 -7.8077 -21.6522 0.0512 0.1783 0.4314 0.3922 0.1961 4.7004 1.0000 
79 80 0 -2.0441 -7.8077 -21.6522 -2.0393 -7.7362 -22.1471 0.0512 0.5000 0.4314 0.3922 0.1961 4.8152 1.0000 
80 81 0 -2.0393 -7.7362 -22.1471 -2.0382 -7.7207 -22.2542 0.0512 0.1082 0.4314 0.3922 0.1961 4.8401 1.0000 
81 82 0 -2.0382 -7.7207 -22.2542 -2.0084 -7.6255 -22.7442 0.0512 0.5000 0.4314 0.3922 0.1961 4.9559 1.0000 
82 83 0 -2.0084 -7.6255 -22.7442 -2.0107 -7.6058 -22.8596 0.0512 0.1171 0.4314 0.3922 0.1961 4.9832 1.0000 
83 84 0 -2.0107 -7.6058 -22.8596 -2.0279 -7.5705 -23.3580 0.0512 0.5000 0.4314 0.3922 0.1961 5.1001 1.0000 
84 85 0 -2.0279 -7.5705 -23.3580 -2.0311 -7.5653 -23.4201 0.0512 0.0624 0.4314 0.3922 0.1961 5.1147 1.0000 
85 86 0 -2.0311 -7.5653 -23.4201 -2.0672 -7.5253 -23.9172 0.0512 0.5000 0.4314 0.3922 0.1961 5.2326 1.0000 
86 87 0 -2.0672 -7.5253 -23.9172 -2.0702 -7.5212 -23.9701 0.0512 0.0532 0.4314 0.3922 0.1961 5.2452 1.0000 
87 88 0 -2.0702 -7.5212 -23.9701 -2.1037 -7.5030 -24.4687 0.0512 0.5000 0.4314 0.3922 0.1961 5.3640 1.0000 
88 89 0 -2.1037 -7.5030 -24.4687 -2.1246 -7.4977 -24.6559 0.0512 0.1884 0.4314 0.3922 0.1961 5.4091 1.0000 
89 90 0 -2.1246 -7.4977 -24.6559 -2.1810 -7.4915 -25.1526 0.0512 0.5000 0.4314 0.3922 0.1961 5.5292 1.0000 
90 91 0 -2.1810 -7.4915 -25.1526 -2.1841 -7.4909 -25.1805 0.0512 0.0281 0.4314 0.3922 0.1961 5.5360 1.0000 
91 92 0 -2.1841 -7.4909 -25.1805 -2.2399 -7.4858 -25.6774 0.0512 0.5000 0.4314 0.3922 0.1961 5.6571 1.0000 
92 93 0 -2.2399 -7.4858 -25.6774 -2.2476 -7.4781 -25.8342 0.0512 0.1572 0.4314 0.3922 0.1961 5.6954 1.0000 
93 94 0 -2.2476 -7.4781 -25.8342 -2.2756 -7.4576 -26.3330 0.0512 0.5000 0.4314 0.3922 0.1961 5.8178 1.0000 
94 95 0 -2.2756 -7.4576 -26.3330 -2.2810 -7.4555 -26.4471 0.0512 0.1142 0.4314 0.3922 0.1961 5.8459 1.0000 
95 96 0 -2.2810 -7.4555 -26.4471 -2.2990 -7.4637 -26.9467 0.0512 0.5000 0.4314 0.3922 0.1961 5.9695 1.0000 
96 97 0 -2.2990 -7.4637 -26.9467 -2.2981 -7.4665 -27.0276 0.0512 0.0809 0.4314 0.3922 0.1961 5.9895 1.0000 
97 98 0 -2.2981 -7.4665 -27.0276 -2.2768 -7.4795 -27.5270 0.0512 0.5000 0.4314 0.3922 0.1961 6.1143 1.0000 
98 99 0 -2.2768 -7.4795 -27.5270 -2.2761 -7.4801 -27.5501 0.0512 0.0232 0.4314 0.3922 0.1961 6.1201 1.0000 
99 100 0 -2.2761 -7.4801 -27.5501 -2.3133 -7.4762 -28.0487 0.0512 0.5000 0.4314 0.3922 0.1961 6.2459 1.0000 
100 101 0 -2.3133 -7.4762 -28.0487 -2.3111 -7.4676 -28.2113 0.0512 0.1628 0.4314 0.3922 0.1961 6.2871 1.0000 
101 102 0 -2.3111 -7.4676 -28.2113 -2.3020 -7.4507 -28.7109 0.0512 0.5000 0.4314 0.3922 0.1961 6.4142 1.0000 
102 103 0 -2.3020 -7.4507 -28.7109 -2.3000 -7.4494 -28.7793 0.0512 0.0685 0.4314 0.3922 0.1961 6.4317 1.0000 
103 104 0 -2.3000 -7.4494 -28.7793 -2.3106 -7.4526 -29.2792 0.0512 0.5000 0.4314 0.3922 0.1961 6.5601 1.0000 
104 105 0 -2.3106 -7.4526 -29.2792 -2.3258 -7.4754 -29.4514 0.0512 0.1743 0.4314 0.3922 0.1961 6.6051 1.0000 
105 106 0 -2.3258 -7.4754 -29.4514 -2.3854 -7.4992 -29.9472 0.0512 0.5000 0.4314 0.3922 0.1961 6.7349 1.0000 
106 107 0 -2.3854 -7.4992 -29.9472 -2.4063 -7.5079 -30.1102 0.0512 0.1646 0.4314 0.3922 0.1961 6.7779 1.0000 
107 108 0 -2.4063 -7.5079 -30.1102 -2.3809 -7.5611 -30.5960 0.0512 0.4893 0.4314 0.3922 0.1961 6.9064 1.0000 
108 109 0 -2.3809 -7.5611 -30.5960 -2.3519 -7.6156 -31.0921 0.0512 0.5000 0.4314 0.3922 0.1961 7.0387 1.0000 
109 110 0 -2.3519 -7.6156 -31.0921 -2.3423 -7.6283 -31.2703 0.0512 0.1788 0.4314 0.3922 0.1961 7.0864 1.0000 
110 111 0 -2.3423 -7.6283 -31.2703 -2.3266 -7.5978 -31.7691 0.0512 0.5000 0.4314 0.3922 0.1961 7.2203 1.0000 
111 112 0 -2.3266 -7.5978 -31.7691 -2.3295 -7.5876 -31.8927 0.0512 0.1241 0.4314 0.3922 0.1961 7.2537 1.0000 
112 113 0 -2.3295 -7.5876 -31.8927 -2.3415 -7.5490 -32.3911 0.0512 0.5000 0.4314 0.3922 0.1961 7.3891 1.0000 
113 114 0 -2.3415 -7.5490 -32.3911 -2.3431 -7.5460 -32.4295 0.0512 0.0385 0.4314 0.3922 0.1961 7.3996 1.0000 
114 115 0 -2.3431 -7.5460 -32.4295 -2.3485 -7.5111 -32.9282 0.0512 0.5000 0.4314 0.3922 0.1961 7.5362 1.0000 
115 116 0 -2.3485 -7.5111 -32.9282 -2.3742 -7.4792 -33.1342 0.0512 0.2100 0.4314 0.3922 0.1961 7.5940 1.0000 
116 117 0 -2.3742 -7.4792 -33.1342 -2.4388 -7.4052 -33.6244 0.0512 0.5000 0.4314 0.3922 0.1961 7.7324 1.0000 
117 118 0 -2.4388 -7.4052 -33.6244 -2.4584 -7.3769 -33.8494 0.0512 0.2276 0.4314 0.3922 0.1961 7.7958 1.0000 
118 119 0 -2.4584 -7.3769 -33.8494 -2.4457 -7.3462 -34.3483 0.0512 0.5000 0.4314 0.3922 0.1961 7.9361 1.0000 
119 120 0 -2.4457 -7.3462 -34.3483 -2.4426 -7.3402 -34.4444 0.0512 0.0963 0.4314 0.3922 0.1961 7.9632 1.0000 
120 121 0 -2.4426 -7.3402 -34.4444 -2.4752 -7.3334 -34.9433 0.0512 0.5000 0.4314 0.3922 0.1961 8.1050 1.0000 
121 122 0 -2.4752 -7.3334 -34.9433 -2.4816 -7.3316 -35.0369 0.0512 0.0938 0.4314 0.3922 0.1961 8.1317 1.0000 
122 123 0 -2.4816 -7.3316 -35.0369 -2.4893 -7.3062 -35.5362 0.0512 0.5000 0.4314 0.3922 0.1961 8.2750 1.0000 
123 124 0 -2.4893 -7.3062 -35.5362 -2.4905 -7.3024 -35.6113 0.0512 0.0752 0.4314 0.3922 0.1961 8.2967 1.0000 
124 125 0 -2.4905 -7.3024 -35.6113 -2.5124 -7.2262 -36.1050 0.0512 0.5000 0.4314 0.3922 0.1961 8.4416 1.0000 
125 126 0 -2.5124 -7.2262 -36.1050 -2.5173 -7.2105 -36.2021 0.0512 0.0985 0.4314 0.3922 0.1961 8.4703 1.0000 
126 127 0 -2.5173 -7.2105 -36.2021 -2.5210 -7.2516 -36.7004 0.0512 0.5000 0.4314 0.3922 0.1961 8.6168 1.0000 
127 128 0 -2.5210 -7.2516 -36.7004 -2.5224 -7.2619 -36.8277 0.0512 0.1277 0.4314 0.3922 0.1961 8.6544 1.0000 
128 129 0 -2.5224 -7.2619 -36.8277 -2.5315 -7.2982 -37.3223 0.0512 0.4960 0.4314 0.3922 0.1961 8.8014 1.0000 
129 130 0 -2.5315 -7.2982 -37.3223 -2.5151 -7.3505 -37.8193 0.0512 0.5000 0.4314 0.3922 0.1961 8.9511 1.0000 
130 131 0 -2.5151 -7.3505 -37.8193 -2.5171 -7.3578 -37.9002 0.0512 0.0813 0.4314 0.3922 0.1961 8.9756 1.0000 
131 132 0 -2.5171 -7.3578 -37.9002 -2.5400 -7.3737 -38.3994 0.0512 0.5000 0.4314 0.3922 0.1961 9.1270 1.0000 
132 133 0 -2.5400 -7.3737 -38.3994 -2.5438 -7.3780 -38.5431 0.0512 0.1438 0.4314 0.3922 0.1961 9.1708 1.0000 
133 134 0 -2.5438 -7.3780 -38.5431 -2.5585 -7.4285 -39.0403 0.0512 0.5000 0.4314 0.3922 0.1961 9.3241 1.0000 
134 135 0 -2.5585 -7.4285 -39.0403 -2.5616 -7.4423 -39.1828 0.0512 0.1431 0.4314 0.3922 0.1961 9.3682 1.0000 
135 136 0 -2.5616 -7.4423 -39.1828 -2.5856 -7.4909 -39.6798 0.0512 0.5000 0.4314 0.3922 0.1961 9.5235 1.0000 
136 137 0 -2.5856 -7.4909 -39.6798 -2.5917 -7.4987 -39.7652 0.0512 0.0860 0.4314 0.3922 0.1961 9.5504 1.0000 
137 138 0 -2.5917 -7.4987 -39.7652 -2.6126 -7.5449 -40.2627 0.0512 0.5000 0.4314 0.3922 0.1961 9.7075 1.0000 
138 139 0 -2.6126 -7.5449 -40.2627 -2.6175 -7.5581 -40.4035 0.0512 0.1416 0.4314 0.3922 0.1961 9.7523 1.0000 
139 140 0 -2.6175 -7.5581 -40.4035 -2.6276 -7.5568 -40.9034 0.0512 0.5000 0.4314 0.3922 0.1961 9.9115 1.0000 
140 141 0 -2.6276 -7.5568 -40.9034 -2.6345 -7.5563 -41.0636 0.0512 0.1603 0.4314 0.3922 0.1961 9.9628 1.0000 
141 142 0 -2.6345 -7.5563 -41.0636 -2.6546 -7.5531 -41.5632 0.0512 0.5000 0.4314 0.3922 0.1961 10.1242 1.0000 
142 143 0 -2.6546 -7.5531 -41.5632 -2.6541 -7.5563 -41.6988 0.0512 0.1357 0.4314 0.3922 0.1961 10.1683 1.0000 
143 144 0 -2.6541 -7.5563 -41.6988 -2.6652 -7.5411 -42.1985 0.0512 0.5000 0.4314 0.3922 0.1961 10.3319 1.0000 
144 145 0 -2.6652 -7.5411 -42.1985 -2.6685 -7.5366 -42.3447 0.0512 0.1463 0.4314 0.3922 0.1961 10.3800 1.0000 
145 146 0 -2.6685 -7.5366 -42.3447 -2.6807 -7.5337 -42.8445 0.0512 0.5000 0.4314 0.3922 0.1961 10.5458 1.0000 
146 147 0 -2.6807 -7.5337 -42.8445 -2.6808 -7.5337 -42.8926 0.0512 0.0480 0.4314 0.3922 0.1961 10.5619 1.0000 
147 148 0 -2.6808 -7.5337 -42.8926 -2.6929 -7.5246 -43.3923 0.0512 0.5000 0.4314 0.3922 0.1961 10.7296 1.0000 
148 149 0 -2.6929 -7.5246 -43.3923 -2.6944 -7.5236 -43.4158 0.0512 0.0235 0.4314 0.3922 0.1961 10.7376 1.0000 
149 150 0 -2.6944 -7.5236 -43.4158 -2.7089 -7.4853 -43.9141 0.0512 0.5000 0.4314 0.3922 0.1961 10.9073 1.0000 
150 151 0 -2.7089 -7.4853 -43.9141 -2.7077 -7.4752 -44.0084 0.0512 0.0948 0.4314 0.3922 0.1961 10.9396 1.0000 
151 152 0 -2.7077 -7.4752 -44.0084 -2.7113 -7.4196 -44.5053 0.0512 0.5000 0.4314 0.3922 0.1961 11.1116 1.0000 
152 153 0 -2.7113 -7.4196 -44.5053 -2.7111 -7.4180 -44.5200 0.0512 0.0148 0.4314 0.3922 0.1961 11.1167 1.0000 
153 154 0 -2.7111 -7.4180 -44.5200 -2.7109 -7.4501 -45.0190 0.0512 0.5000 0.4314 0.3922 0.1961 11.2906 1.0000 
154 155 0 -2.7109 -7.4501 -45.0190 -2.7122 -7.4596 -45.1965 0.0512 0.1778 0.4314 0.3922 0.1961 11.3529 1.0000 
155 156 0 -2.7122 -7.4596 -45.1965 -2.6553 -7.4852 -45.6926 0.0512 0.5000 0.4314 0.3922 0.1961 11.5295 1.0000 
156 157 0 -2.6553 -7.4852 -45.6926 -2.6472 -7.4938 -45.8427 0.0512 0.1506 0.4314 0.3922 0.1961 11.5831 1.0000 
157 158 0 -2.6472 -7.4938 -45.8427 -2.6361 -7.4988 -46.3426 0.0512 0.5000 0.4314 0.3922 0.1961 11.7624 1.0000 
158 159 0 -2.6361 -7.4988 -46.3426 -2.6292 -7.5084 -46.5043 0.0512 0.1621 0.4314 0.3922 0.1961 11.8210 1.0000 
159 160 0 -2.6292 -7.5084 -46.5043 -2.6299 -7.5057 -47.0043 0.0512 0.5000 0.4314 0.3922 0.1961 12.0030 1.0000 
160 161 0 -2.6299 -7.5057 -47.0043 -2.6307 -7.5064 -47.0750 0.0512 0.0707 0.4314 0.3922 0.1961 12.0289 1.0000 
161 162 0 -2.6307 -7.5064 -47.0750 -2.6511 -7.4815 -47.5740 0.0512 0.5000 0.4314 0.3922 0.1961 12.2135 1.0000 
162 163 0 -2.6511 -7.4815 -47.5740 -2.6596 -7.4795 -47.7265 0.0512 0.1527 0.4314 0.3922 0.1961 12.2703 1.0000 
163 164 0 -2.6596 -7.4795 -47.7265 -2.6817 -7.4741 -48.2259 0.0512 0.5000 0.4314 0.3922 0.1961 12.4577 1.0000 
164 165 0 -2.6817 -7.4741 -48.2259 -2.6858 -7.4730 -48.3341 0.0512 0.1082 0.4314 0.3922 0.1961 12.4986 1.0000 
165 166 0 -2.6858 -7.4730 -48.3341 -2.7083 -7.4706 -48.8336 0.0512 0.5000 0.4314 0.3922 0.1961 12.6888 1.0000 
166 167 0 -2.7083 -7.4706 -48.8336 -2.7152 -7.4509 -49.0045 0.0512 0.1722 0.4314 0.3922 0.1961 12.7549 1.0000 
167 168 0 -2.7152 -7.4509 -49.0045 -2.7128 -7.4179 -49.5034 0.0512 0.5000 0.4314 0.3922 0.1961 12.9483 1.0000 
168 169 0 -2.7128 -7.4179 -49.5034 -2.7135 -7.3965 -49.7340 0.0512 0.2315 0.4314 0.3922 0.1961 13.0387 1.0000 
169 170 0 -2.7135 -7.3965 -49.7340 -2.7097 -7.3525 -50.2320 0.0512 0.5000 0.4314 0.3922 0.1961 13.2357 1.0000 
170 171 0 -2.7097 -7.3525 -50.2320 -2.7085 -7.3426 -50.3379 0.0512 0.1063 0.4314 0.3922 0.1961 13.2780 1.0000 
171 172 0 -2.7085 -7.3426 -50.3379 -2.6940 -7.2939 -50.8353 0.0512 0.5000 0.4314 0.3922 0.1961 13.4781 1.0000 
172 173 0 -2.6940 -7.2939 -50.8353 -2.6909 -7.2885 -50.9132 0.0512 0.0782 0.4314 0.3922 0.1961 13.5096 1.0000 
173 174 0 -2.6909 -7.2885 -50.9132 -2.6912 -7.2821 -51.4132 0.0512 0.5000 0.4314 0.3922 0.1961 13.7127 1.0000 
174 175 0 -2.6912 -7.2821 -51.4132 -2.6909 -7.2818 -51.4736 0.0512 0.0604 0.4314 0.3922 0.1961 13.7374 1.0000 
175 176 0 -2.6909 -7.2818 -51.4736 -2.7043 -7.2910 -51.9733 0.0512 0.5000 0.4314 0.3922 0.1961 13.9436 1.0000 
176 177 0 -2.7043 -7.2910 -51.9733 -2.7062 -7.2922 -52.0411 0.0512 0.0678 0.4314 0.3922 0.1961 13.9718 1.0000 
177 178 0 -2.7062 -7.2922 -52.0411 -2.7480 -7.3070 -52.5391 0.0512 0.5000 0.4314 0.3922 0.1961 14.1811 1.0000 
